review,preprocessed_text,score
"Tidak bisa login, tolong diperbaiki. Terima kasih",login tolong baik terima kasih,1
eror enggak bisa masukin imel,eror masukin imel,2
"Ya Allah tolong kembalikan uang saya, tiba tiba ketarik otomatis di akun DANA saya senilai 609.390. itu sepertinya tidak sengaka kepencet fitur berlangganan nya, saya mohon kembalikan uang saya, saya sangat membutuhkannya",allah tolong kembali uang tarik otomatis akun dana nila sengaka pencet fitur langgan mohon kembali uang butuh,1
Tolong diperbaiki lagi min. udah brapa kali bolak balik unistal selalu eror gabisa login kdang mau seringnya tiba2 eror,tolong baik brapa kali bolak unistal eror gabisa login kdang eror,2
Sangat bagus sekali aplikasi nya saya lari dari Palembang menuju Bali sangat senang,bagus aplikasi lari palembang senang,5
"dana saya kepotong otomatis karena aplikasi ini, dan saya tidak merasa berlangganan dengan aplikasi ini, mohon bantuan nya tolong kembaliikan dana saya karena saya sangat memerlukan dana tersebut",dana potong otomatis aplikasi langgan aplikasi mohon bantu tolong kembaliikan dana dana,1
gak jelas aku gak berlanggannan malah di ambil 33.300k,berlanggannan ambil,1
bikin boros baterai hp,bikin boros baterai,1
jarak dan waktu nya sering ngaco,jarak ngaco,2
GK bisa lihat jam berhenti aktifitas,lihat henti aktifitas,4
"awal make gk ada masalah, setelah bbrpa hari pke tiba"" error gk bisa login ke akun, tlg perbaiki/ ksh arahan ke saya,biar sy lebih enjoy pakai strava ini🙏",make bbrpa error login akun baik arah sayabiar enjoy pakai strava,4
tolong kembalikan uang saya min tiba2 ketarik 609.000 saya sangat membuatuhkan uang itu min. tidak ada pemberitahuan bahwa saya berlangganan tolong yaaaa,tolong kembali uang admin tarik membuatuhkan uang pemberitahuan langgan tolong yaaaa,1
huawei gt5 tidak terbaca,huawei baca,3
"tidak bisa share activity di grup, servernya slow terus mengecewakan",share activity grup servernya slow kecewa,1
"big stuck di loading dan muter muter aja gk jalan jalan aplikasinya tapi pas buka apk lain aman aman aja, pas buka strava cuma bisa buka rutenya yang lain gk bisa alias loading",stuck loading muter muter jalan jalan aplikasi buka aplikasi aman aman buka strava buka rute alias loading,2
wow amazing ini yang papa cari selama ini✋🏻😂🤚🏻,amazing papa cari,5
bagus dan fitur lengkap,bagus fitur lengkap,5
aplikasi yg sangat membantu.. mohon di tambah fitur gratisnya..😁😁😁,aplikasi bantu mohon fitur gratis,5
aplikasi nya bagu,aplikasi bagu,4
kenapa setiap masukan email gak bisa,masuk email,3
ngga tau pas buka peta untuk di lihat malah langsung close aplikasi nya dan terus berulang kali,ngga buka peta lihat langsung close aplikasi ulang kali,2
APLIKASI INI MEMILIKI MASALAH SERVER,aplikasi milik server,1
saldo dana saya tbtb langsung ke tarik lah mana 600k lagi..tolongg kembalikannn yaallah,saldo dana tbtb langsung tarik lagitolongg kembalikannn yaallah,1
kok saya gabisa daftar untuk pertama kalinya?,gabisa daftar kali,3
"susah login padahal udh punya akun, dan ga akurat",susah login akun akurat,1
apalah error trus,error trus,1
"aplikasi selama ini lemot,dulu gak lemot gini",aplikasi lemotdulu,1
"saya coba yang foto rute transparan bisa didownload cuma gabisa terbaca sama hp, cuma garis garis eror doang",coba foto rute transparan didownload gabisa baca garis garis eror doang,2
"tolong kembalikan dana saya sebesar Rp600.390 karena saya tidak merasa berlangganan tiba"" transaksi sendirian tanpa di ketahui oleh saya,mohon tindakan untuk tim strava untuk mengembalikan dana saya sebesar Rp 600.390 .saya udah coba refund di google ternyata ditolak oleh google,saya mohon bantuannya tim strava untuk tindak lanjut masalah ini.untuk secepatnya untuk di kembalikan!!!!!!!!!",tolong kembali dana langgan transaksi tahu sayamohon tindak strava kembali dana coba refund google tolak googlesaya mohon bantu strava tindak iniuntuk cepat kembali,1
bagus buat bersemangat,bagus semangat,5
"tolong dong di perbaiki, saya udh lari 4/5 km tapi selalu gak terhitung jarak nya. ini udh bagus tapi tolong banget ini mah di perbaiki lagi",tolong baik lari hitung jarak bagus tolong banget baik,2
Timer masih aktif tapi km ga nambah padahal masih gerak🗿,timer aktif nambah gerak,4
ga bisa login terkendala masalah terus,login kendala,3
kenapa pas daftar gabisaa yaa?? katanya erorrr.. :(((,daftar gabisaa erorrr,2
udah di batalin langganan tp dananya gak kembali,batalin langgan dana,5
"selamat malam mohon di bantu kebijakan dalam fitur nya, saya tidak merasa berlangganan, tapi kenapa uang saya di tarik otomatis dari dana saya",selamat malam mohon bantu bijak fitur langgan uang tarik otomatis dana,3
Lumayanlah gua muter dikamar 6 jem langsung 1 km,lumayan muter kamar langsung,2
gw dirumah sakit krn ini,rumah sakit,1
"setalah saya menggunakan aplikasi dari saya gak bisa masak nasi goreng sekarang saya bisa masak mie ayam, terimakasih starvaaa",seta aplikasi masak nasi goreng masak ayam terimakasih starvaaa,5
"Mohon bantuannya dari pihak strava agar uang saya bisa secepatnya kembali. Uang saya kemarin ketarik sebesar 609.390 dari ovo, padahal saya tidak merasa menggunakan akun pro.",mohon bantu strava uang cepat uang kemarin tarik akun,1
ga bisa di buka setelah pemakaian aplikasi ini 2 bulan,buka pakai aplikasi,2
masa harus msukin email tanggal ulang tahun yang benar padahal udah benar tanggal ulang tahunnya,msukin email tanggal ulang tanggal ulang tahun,1
sumpah gak guna bener servernya tiap login selalu aja gagal 🙂 keterlaluan ini ada tugas lari 10 km aja jadi kelewatkan harus pake aplikasi lain dan sungguh dirugikan sekali wahai atrava!,sumpah bener servernya login gagal tugas lari lewat pake aplikasi sungguh rugi atrava,1
"balikin pengenbalian dana saya, tidak merasa berlangganan kok dipotong saldo saya",balikin pengenbalian dana langgan potong saldo,1
"Padahal sudah suka sama Strava, tapi sekarang sering error, fitur pelacakan GPS yang tidak akurat, map-nya sering loncat2. jadi jaraknya tidak sesui",suka strava error fitur lacak akurat loncat jarak sesui,1
tolong ya min jgn ada fitur langanan jadinya yg suka lagi gk pindah aplikasi,tolong admin fitur langanan suka pindah aplikasi,5
"Waktu, jarak dan pace enggak sesuai. Terlebih lagi sering terkeluar dari aplikasi",jarak pace sesuai keluar aplikasi,1
Saldo dana saya sebesar 609.000 di ambil tanpa sepengetahuan saya dan tanpa ada proses apapun. Mohon terima pengajuan saldo dana saya dan segera di kembalikan.,saldo dana ambil tahu proses mohon terima saldo dana kembali,1
Aplikasi bermasalah,aplikasi masalah,1
"uang saya kesedott ,609000 ,pliss kembaliinnn aku butuhh uangg ituuuuuu",uang kesedott pliss kembaliinnn butuhh uangg ituuuuuu,1
fitur kalorinya harus premium anjir,fitur kalori premium anjir,1
akurasi tepat,akurasi,5
GK bisa buat akun,akun,1
"melakukan transaksi tanpa pemberitahuan, dan merugikan",transaksi pemberitahuan rugi,1
"Mantap, dapet promo gratis selama 30 hari",mantap dapet promo gratis,4
selama ini gw pakai mtb doltrap 80kmh 🤮,pakai doltrap,5
"sekarang harus pakai wifi,",pakai wifi,2
"haii stravaa,, bisakah anda mengembalikan uang saya 609ribu?? saya tidak melakukan transaksi apapun mengapa anda mengambil dana saya tanpa izinn??? kembalikan dana saya sekarang jugaa..",stravaa kembali uang ribu transaksi ambil dana izinn kembali dana jugaa,1
"masih bug min🤦 saya lari 11kilo malah jadi 14 kilo, rutenya juga TDK beraturan alias ngawur🤦 tolong di benahi",lari kilo kilo rute atur alias ngawur tolong benah,3
maps tidak merespon sesuai jalur..sangat tidak efektif,maps merespon sesuai jalursangat efektif,1
Kok strava saya ga bisa buka data sih... mohon di jawab pihak developer strava?,strava buka data mohon developer strava,5
"yaallah tolong kembali kan uang saya 610k itu buat makan untuk sebulan kedepan yaallah aku mohon banget ,tiba ' banget hilang ,saya sekarang belom makan sama sekali yaallah binggung mau gimana mau cari kemana plis admin strava",yaallah tolong uang makan bulan depan yaallah mohon banget banget hilang makan yaallah binggung gimana cari mana plis admin strava,1
"Yaallah tolong kembalikan uang saya, tiba2 ketarik otomatis di akun DANA saya senilai 609.390, itu sepertinya tidak sengaja keepncet fitur langganan nya, saya mohon kembalikan uang saya, saya sangat membutuhkannya tolong secepatnya",yaallah tolong kembali uang tarik otomatis akun dana nila sengaja keepncet fitur langgan mohon kembali uang butuh tolong cepat,2
"sudah d download dan isi daftar tapi gagal terus pdhal sudah sesuai, gak jelas banget",download daftar gagal pdhal sesuai banget,1
aplikasi yg sangat membantu untuk semua orang yg mau sehat,aplikasi bantu orang sehat,5
saya menggunakan strava dari akhir 2024 dan berjalan baik sampai update tampilan antarmuka. puncaknya pagi ini aplikasi tidak bisa dibuka dan muncul notifikasi bahwa aplikasi memiliki bug. semoga segera dapat diperbaiki. saya senang menggunakan strava,strava jalan update tampil antarmuka puncak pagi aplikasi buka muncul notifikasi aplikasi milik moga baik senang strava,3
"gak jelas, memotong saldo orang tanpa sepengetahuan saya, tiba tiba berlangganan gak jelas padahal tanpa sepengetahuan saya saldo di dana saya terpotong 609.390 tanpa memasukan pin, dan sudah di ajukan ke google play tidak mau kembalikan saldo saya dari pihak strava",potong saldo orang tahu langgan tahu saldo dana potong pasu google play kembali saldo strava,1
koq susah banget buka aplikasinya ya. muter-muter terus,susah banget buka aplikasi mutermuter,1
mantap sangat ber manfaat untuk pembinaan fisik,bagus manfaat bina fisik,4
"Saya kecewa sama strava, saya padahal tidak pernah berlangganan tiba tiba ini apk nyedot uang di dana.",kecewa strava langgan aplikasi nyedot uang dana,1
"bagi admin starva tolong kembalikan uang sya sebesar 609.390,00tolong di kembalikan sya bituh uang itu anda sebagai admin kalau mau ngambil saldo harusnya ada pemberitahuan dulu ga langsung lu ambil ambil aja lu udah kaya malah ngambil uang bukan hak lo tolong lah kembalikan uang itu gw mau pake buat bayar semester",admin starva tolong kembali uang tolong kembali bituh uang admin ngambil saldo pemberitahuan langsung ambil ambil kaya ngambil uang tolong kembali uang pake bayar semester,1
saya pas daftar tidak bisa masuk dan terjadi error atau keluar dari apk,daftar masuk error aplikasi,2
"gak bisa login karna servernya keganggu terus, udah lama saya menunggu itu.",login karna servernya ganggu tunggu,1
kak mohon maaf boleh minta refund saldo dana saya terpotong otomatis terimakasih,mohon maaf refund saldo dana potong otomatis terimakasih,1
"kembalikan uang saya 609.390 rb .saya sudah tidak menggunakan aplikai STRAVA sudah lama akan tetapi ada transaksi tidak di ketahui di akun saya tiba tiba saldo dana saya habissss dann aaya sudh komplain trus melapor ke pihak google.trus pihak dana dan sekarang ini.dan di dana sudah tidak bisa di kemablikan karna pembayaran sudah berhasil,tetapi dari pihak saya tidak ada pemberitahuan .ini sangat merugikkan kepada pihak SETRAVAAAA mohon kebijakan nyaa dan TANGGUNG JAWAB sebagai pengelola.",kembali uang aplikai strava transaksi tahu akun saldo dana habissss dann aaya sudh komplain trus lapor googletrus dana inidan dana kemablikan karna bayar berhasiltetapi pemberitahuan merugikkan setravaaaa mohon bijak nyaa tanggung kelola,1
"tiba tiba dana kepotong akibat strava, padahal cuman uji coba gratis",dana potong akibat strava cuman coba gratis,1
kadang tidak sesuai kilometer nya sama jarak yang kita tempuh,kadang sesuai kilometer jarak tempuh,1
penghitungan nya ga sesuai,hitung sesuai,1
"tolong kembalikan dana berlangganan senilai 609rb, kenapa saya otomatis harus bayar biaya langganan selama setahun. Padahal dari awal menggunakan aplikasi tidak pernah menggunakan fitur premium. sudah coba refund lewat google play store, tapi tolong dibantu percepat lah dari depeloper untuk uang saya bisa kembali dalam waktu satu hari !!!",tolong kembali dana langgan nila otomatis bayar biaya langgan tahun aplikasi fitur premium coba refund google play store tolong bantu cepat depeloper uang,1
"aplikasi yang berguna untuk lari, tetapi kenapa saat saya login ulang, di halaman aplikasi tertulis server eror, itu sangat menggangu sehingga saya perlu menggunakan vpn agar kembali normal. tolong di perbaiki. terima kasih🙏",aplikasi guna lari login ulang halaman aplikasi tulis server eror menggangu normal tolong baik terima kasih,4
"masak iya saya jogging speed keong tercatat pace 3, gps sering error, tp error yg bagus 👍🏼",masak jogging speed keong catat pace error error bagus,5
akurat dan sangat bermanfaat,akurat manfaat,5
"apaan cok candance harus nya di sesuaikan dlu masa pace kecil candance nya di bawah 150 sedangkan tb 160, candance nya sesuaikan sama pace + tb aja dah yang di tanyakan di awan",candance sesuai pace candance candance sesuai pace awan,2
sering error ketika menyimpan aktifitas padahal koneksi internet bagus!!,error simpan aktifitas koneksi internet bagus,1
aplikasi pencatatan olahraga yg sangat bagus,aplikasi catat olahraga bagus,5
aplikasi nya bagus banget,aplikasi bagus banget,5
"aduh gimana si apk gaje, login server selalu masalah, emang apk kurang berguna",aduh gimana aplikasi gaje login server emang aplikasi guna,1
"600rb cman utk apk ini,dan itupun nggak sengaja ternyata aku msh berlangganan,sedangkan saya sdh tdk pakai apk ini,melayang sdh 600rb ku",cman aplikasi inidan sengaja berlangganansedangkan pakai aplikasi inimelayang,1
download terpaksa karena tugas 💁🏼‍♀️💔menuhin memo tok,download paksa tugas menuhin memo,1
"Saya ingin melaporkan bahwa pada tanggal [25 juli 2025], saldo DANA saya sebesar Rp [609.390] telah terpotong secara otomatis oleh aplikasi Strava. Saya tidak merasa melakukan transaksi berlangganan atau menyetujui pembayaran tersebu",lapor tanggal juli saldo dana potong otomatis aplikasi strava transaksi langgan tuju bayar sebu,1
"yaAllah, tolong admin Strava tolong kembalikan uang saya, saya tidak langganan kok tiba"" saldo saya otomatis ketarik saldo saya senilai, 609.390.00,tolong admin strava kembalikan uang saya🙏",yaallah tolong admin strava tolong kembali uang langgan saldo otomatis tarik saldo nila tolong admin strava kembali uang,1
pemberi semangat,beri semangat,5
bagus & akurat,bagus akurat,5
"Versi terbaru makin ngelag, lemot, lelet, siput, lambat, loading",versi baru ngelag lelet siput lambat loading,1
saya suka menggunakannya. tapi gimana merubah yang ada hasil brp banyak langkahnya,suka guna gimana rubah hasil langkah,5
aplikasi nya bagus berguna sekali buat Joging Olahraga Sepeda renang,aplikasi bagus guna joging olahraga sepeda renang,5
tolong kembalikan uang saya tiba² ketarik otomatis di akun DANA saya sebesar 609.390 itu sepertinya tidak di sengaja kepencet fitur langanan nya saya mohonlah kembalikan uang saya itu untuk saya sekolah,tolong kembali uang tarik otomatis akun dana sengaja pencet fitur langanan mohon kembali uang sekolah,1
"Bug di Elevasi, padahal tidak menanjak tapi terhitung elevasi yang signifikan",elevasi tanjak hitung elevasi signifikan,1
ini kenapa ya strava gaada km sama Pace nya aneh banget cape cape lari gaada km sma Pace ny jadi gatau saya udh berapa km nya dan Pace ny berapa,strava gaada pace aneh banget cape cape lari gaada pace gatau pace,1
"Jelek banget, gak akurat sama sekali padahal bersepeda jarak 20km+ malah dicatat 7km. Gak niat bikin aplikasi hapus aja dari playstore",jelek banget akurat sepeda jarak catat niat bikin aplikasi hapus playstore,1
"Bagus, cukup akurat dan bisa sinkron dengan smartwatch Huawei saya",bagus akurat sinkron smartwatch huawei,5
"bagus utk monitor kegiatan olahraga,check atau evaluasi selama kegiatan",bagus monitor giat olahragacheck evaluasi giat,5
konversi pace dari smartwatch amazfit ke strava beda jauh. mohon ditingkatkan aplikasinya,konversi pace smartwatch amazfit strava beda mohon tingkat aplikasi,3
"awalnya aplikasi ini oke lah, tapi 4 bulan terakhir GPS error terus, udah hapus download lagi tetep sama error, akhirnya pindah ke aplikasi sebelah",aplikasi error hapus download tetep error pindah aplikasi belah,2
Akhir-akhir ini buka aplikasi ini agak lambat responnya,akhirakhir buka aplikasi lambat responnya,4
"bug, gak bisa login atau buat akun baru",login akun,5
"tolong kembalikan uang umsaya 609.390 saya tidak memakai aplikasi ini sama sekali, tapi dana saya ke sedot otomatis, aplikasi pencuri saldo",tolong kembali uang umsaya pakai aplikasi dana sedot otomatis aplikasi curi saldo,1
"bayangin lu udah lari berkilo-kilo mau cek fisik seberapa kuat jarak lu lari, pas udah selesaikan aktifitas ternyata di profile ga ada alias kaga kerekam. ahelaaahh",bayangin lari berkilokilo fisik kuat jarak lari selesai aktifitas profile alias kaga rekam ahelaaahh,1
"aplikasi nya kadang suka minimize dan close sendiri ketika dipakai record saat lari, alhasil rekaman lari hilang/salah (Pace nya loncat, jarak nya hilang), ngeselin banget 👿👿 padahal HP sudah mumpuni pakai Snapdragon 8 gen 3 dan ram 16 GB. izin aplikasi juga sudah semua ayo segera perbaiki, sangat mengganggu",aplikasi kadang suka minimize close pakai record lari alhasil rekam lari hilangsalah pace loncat jarak hilang ngeselin banget mumpuni pakai snapdragon izin aplikasi baik ganggu,3
"Apakah ada yang tau untuk solusi menghubungkan jam tangan dari huawei gt 5 ke strava ,dikarenakan ketika melakukan aktivitas sebenarnya sudah terbaca namun nama device / jam tangan tidak tercantum pada aktivitas Terimakasih",solusi hubung tangan huawei strava aktivitas baca nama device tangan cantum aktivitas terimakasih,5
"tolong kembalikan saldo DANA saya,yang tiba tiba otomatis membeli langganan senilai 609.390.00,saya sudah ajukan ke web strava,dan chat email Strava tapi belum ada respon dari pihak strava,mohon kembalikan dananya,saya sangat membutuhkannya🙏🙏",tolong kembali saldo dana sayayang otomatis beli langgan nila stravadan chat email strava respon stravamohon kembali dananyasaya butuh,2
tolong diperbaiki bugnya masa saya sudah record pas di save malah tidak muncul di aktivitas,tolong baik bugnya record save muncul aktivitas,2
mantap buat aktivitas olahraga kita,bagus aktivitas olahraga,5
bikin olah raga tambah semangat,bikin olah raga semangat,5
saldo saya tiba-tiba membayar tagihan padahal saya tidak melakukannya saya harap saldo saya bisa di kembalikan uang tersebut untuk saya sekolah mohon bantuannya 🙏,saldo tibatiba bayar tagih laku harap saldo kembali uang sekolah mohon bantu,1
"aplikasi apaan nih, ngeleg bat padahal jaringan lancar",aplikasi ngeleg jaring lancar,1
"sementara rating 1. karena app yg saya pakai setiap share activity maka gambarnya rusak, gak jelas. padahal sudah saya updates.",rating pakai share activity gambar rusak updates,1
saat di share tidak muncul jarak+rutenya,share muncul jarakrutenya,1
"Saya merekam aktivitas saat offline, dan sekarang setelah online muncul status ‘memproses aktivitas’ tapi tidak selesai-selesai. Mohon bantuan untuk memulihkan aktivitas ini.gimana ni min 2 jam ga berhasil,apa lagi ke warteg dulu atau gimana ?",rekam aktivitas offline online muncul status proses aktivitas selesaiselesai mohon bantu pulih aktivitas inigimana admin berhasilapa warteg gimana,3
belajar konsisten dgn aplikasi ini emang lebih ok... cuma kadang GPS nya ngawur... tolong perbaiki GPS yg suka ngawur...,ajar konsisten aplikasi emang kadang ngawur tolong baik suka ngawur,4
lambat diakses,lambat akses,1
"aplikasi kerennn, bismillah bulan depan bisa kebeli jam biar ga bawa hp mlu pas lari",aplikasi kerennn bismillah kebel biar bawa lari,5
sangat membantu dalam olahraga terutama saya suka bersepeda.,bantu olahraga suka sepeda,5
Akurat dan simpel,akurat simpel,5
tidak bisa bikin akun,bikin akun,1
"mapsnya belok kiri kanan atas bawah min itu knapa dah ,kadang baru lari 1 km di strava sdh 2km ,tolong perbaiki min🙏🏻🙏🏻",mapsnya belok kiri kanan admin knapa kadang lari strava tolong baik,3
Media yang akan di share tidak bisa landscape,media share landscape,3
bermanfaat untuk mengetahui aktivitas yg telah dijalani,manfaat aktivitas jalan,5
pace dan jarak suka gak sinkron dan sangat buruk,pace jarak suka sinkron buruk,3
"Ini Aplikasi cuma ketolong Trend Tiktok doang. masih banyak Bug. susah banget tambah perangkat Galaxy watch 7. Padahal udah sesuai instruksi. udah start walking dari jam, gak tercatat di hp. ternyata samsung health udah cukup bagus. rugi banget yang udah langganan 500rb/tahun.",aplikasi tolong trend tiktok doang susah banget perangkat galaxy watch sesuai instruksi start walking catat samsung health bagus rugi banget langgan rbtahun,1
aplikasi starva ini sangat membantu saya berolahraga 👍🏼👍🏼,aplikasi starva bantu olahraga,5
setelah update terjadi error terus tidak bisa login!,update error login,1
error di hp samsung tidak bisa login,error samsung login,1
"akhir² ini apk strava sering eror,,jarak dan pace ngk nyambung",aplikasi strava erorjarak pace nyambung,1
"tolong kembalikan dana saya se besar 609.390, mau langganan yang sebulan malah salah pilih yang setahun plis strava, mohon bantuannya 🙏😭",tolong kembali dana langgan bulan salah pilih tahun plis strava mohon bantu,5
"sebenrnya udah suka banget sama app ini,cuma pas saya sempet keluar untuk mengganti musik di app lain,dan saat sudah kembali ke app strava,yang ada malah tiba tiba keluar sendiri,dan dicoba sampai 5x dan didownload ulang pun tetap saja,tolong dong ubah bug seperti ini yaa dari pihak strava,agar menambah kenyamanan bagi para pengguna aplikasi ini,semoga di notice ☺️🙏🏽",sebenrnya suka banget inicuma sempet ganti musik laindan stravayang sendiridan coba didownload ulang sajatolong ubah stravaagar tambah nyaman guna aplikasi inisemoga notice,3
"kenapa kebanyakan mempermasalahkan perhitungan yg kurang akurat? padahal point pentingnya kan lari buat kesehatan,hobi. bukan buat fomo fomoan haus validasi",banyak masalah hitung akurat point lari kesehatanhobi fomo fomoan haus validasi,5
"baru install mau login gk bisa, daftar gk bisa. Mau nya apa sih ini aplikasi gk jelas banget",install login daftar aplikasi banget,1
"Kasih bintang satu dulu, saya dari kemarin tidak bisa masuk akun. Server Gagal mulu. Saya kira masalah teknis biasa, tapi dari kemarin masih gak bisa masuk juga. Tolong diperbaiki...",kasih bintang kemarin masuk akun server gagal mulu teknis kemarin masuk tolong baik,1
cocok utk olahraga,cocok olahraga,5
sangat bermanfaat sewaktu untuk olahraga,manfaat olahraga,5
jarak gak akurat.. knpa ya strava ini..,jarak akurat knpa strava,3
"sering trobel...capek2 lari gak bisa di simpan , ini sudah 4x lari seperti itu terus...yang terakhir bisa di simpan tapi ga bisa di bagikan...aneh",trobelcapek lari simpan lari terusyang simpan bagikananeh,3
Habis update GPS sering tidak terdeteksi. mohon untuk segera diatasi problem ini,habis update deteksi mohon atas problem,2
apk ini mengambil saldo secara otomatis jangan di download,aplikasi ambil saldo otomatis download,1
"bagus, tapi tolong apabila result lari kita kehapus bisa direcovery",bagus tolong result lari hapus direcovery,4
sangat jelek,jelek,1
"kenapa GPS nya suka ilang ilangan, kenap sih sekarang Mandang perangkat strava dulu bagus di semua perangkat selalu akurat dan dapat GPS sekarang udah hilang""an gpsnya",suka ilang ilangan kenap mandang perangkat strava bagus perangkat akurat hilang gpsnya,2
tolong video strava nya bisa di download yah ....🙏🙏🙏🙏,tolong video strava download,5
"Mohon diperbaiki lagi, jarak dan juga peta nya ngaco. Padahal saya berdua dengan teman dengan hp berbeda lalu pake strava hiking maupun running tapi hasil gk sama",mohon baik jarak peta ngaco teman beda pake strava hiking running hasil,2
entah faktor HP atau gps. lari d track pinggir lapangan bola akurasiny gak jelas. 2 hari ini lari muterin jln d deket rumah. tracking gak jalan. coba track gps gak akurat. faktor d kampung mungkin,faktor lari track pinggir lapang bola akurasiny lari muterin deket rumah tracking jalan coba track akurat faktor kampung,3
sangat membantu mencatat aktivitas olah raga,bantu catat aktivitas olah raga,5
aplikasi yg bisa memotivasi utk sehat,aplikasi motivasi sehat,5
"kadang sukaaa bug pas lari jaraknya ga kehitung, padahal saya lari di lintas kabupaten, selain itu GPS nyaaa ga terdeteksi kita lewat mana ajaa.... sebagai pengalaman: saya lari muter lapangan... pada saat selesai tampilan rute nya malah ke area jalan raya acak'annnn,,alhasil kita ga fokus lari tapi pantengin strava terusss..... tolong dibenahi untuk masalah ini..kalo masih seperti ini terus yang ada pelari' pada pindah apk lainn",kadang sukaaa lari jarak hitung lari lintas kabupaten nyaaa deteksi ajaa alam lari muter lapang selesai tampil rute area jalan raya acakannnnalhasil fokus lari pantengin strava terusss tolong benah inikalo lari pindah aplikasi lainn,1
hati hati saldo dana kesedot,hati hati saldo dana sedot,1
"aplikasi sering keluar sendiri atau tertutup sendiri, kadang tdk sinkron waktu sama jaraknya... mohon diperbaiki lagi,,",aplikasi tutup kadang sinkron jarak mohon baik,3
minta tolong untuk apikasi Dafit android dapat upload hasil dari smartwacth ke strava.,tolong apikasi dafit android upload hasil smartwacth strava,2
"""aplikasi tidak berfungsi dengan baik saat saya membukanya"", saya ingin dana pembelian dikembalikan terimakasih",aplikasi fungsi buka dana beli kembali terimakasih,2
"aplikasi gak jelas, memotong saldo orang tanpa sepengetahuan saya, tiba tiba berlangganan gak jelas padahal tanpa sepengetahuan saya saldo di dana saya terpotong 609.390 tanpa memasukan pin, dan sudah di ajukan ke google play tidak mau kembalikan saldo saya dari pihak strava",aplikasi potong saldo orang tahu langgan tahu saldo dana potong pasu google play kembali saldo strava,1
"tolong kembalikan dana sy senilai 609.390.padahal sy sudah hapus aplikasinya dari hp sy tapi tiba2 saldo dana sy melakukan pembelian tanpa sepengetahuan dan persetujuan saya, mohon di kembalikan, kalo mau kami berlangganan bukan dgn cara bgtu ambil saldo seenaknya saja, itu sama aja dengan mencuri dan itu sudah tindak kriminal",tolong kembali dana nila hapus aplikasi saldo dana beli tahu tuju mohon kembali kalo langgan bgtu ambil saldo curi tindak kriminal,1
Sangat membantu mengevaluasi jarak dan kecepatan saat latihan,bantu evaluasi jarak cepat latih,5
Sangat membantu untuk tracking olahraga saya,bantu tracking olahraga,5
dokumentasi yg baik,dokumentasi,5
cukup aman,aman,3
"Ya Tuhan tolong kembalikan uang saya ,tiba2 ketarik otomatis di akun DANA saya senilai 609.390,00,itu sepertinya tidak sengaja kepencet fitur langganan nya,saya mohon sebesar besarnya kembalikan uang saya,saya sangat membutuhkan nya untuk membeli perlengkapan sekolah,saya masih pelajar saya minta tolong🙏🙏😭",tuhan tolong kembali uang tarik otomatis akun dana nila sengaja pencet fitur langgan nyasaya mohon besar kembali uang sayasaya butuh beli lengkap sekolahsaya ajar tolong,1
Untuk Tanggal 13-07-2026 Aplikasinya Tidak Akurat Lagi Terutama Jarak & Pace. Mohon Segera Diperbaiki Baru Bintang 5,tanggal aplikasi akurat jarak pace mohon baik bintang,3
"sangat sangat kurangg banget, saya lari dengan pace rendah malah jadi pace tinggi poko nya erorr banget",kurangg banget lari pace rendah pace poko erorr banget,1
sangat membantu untuk aktif berolahraga,bantu aktif olahraga,5
aplikasi penunjang olahraga,aplikasi tunjang olahraga,5
memuaskan.... terus ditingkatkan dan dipertahankan,muas tingkat tahan,5
aplikasi idaman loh ya 😹,aplikasi idam,5
senang bisa di jadikan konten hasil lari/jalan,senang jadi konten hasil larijalan,5
Aktifitas belum di simpan harus ny jadi draft,aktifitas simpan draft,1
kok GPSnya suka error,gpsnya suka error,4
"Gak bisa nyambung ke huawei health , walau sudah langganan. Dari google fit juga tidak connect. Rugi beli.",nyambung huawei health langgan google connect rugi beli,1
kadang error hahaha,kadang error hahaha,4
udah download kenapa gabisa login si susah bet,download gabisa login susah,1
duit saya ke ambil sama google gara gara tidak sengaja berlangganan di apk ini itu pun ngambil duit nya langsung tampa persetujuan saya dana saya rugi 609.390 ribu,duit ambil google gara gara sengaja langgan aplikasi ngambil duit langsung tampa tuju dana rugi ribu,1
"udh lari jauh... ehh malah loading penyimpanan lama, dan ternyata harus update.dan tidak tersimpan👎👎👎",lari loading simpan updatedan simpan,1
apk sering bgt eror gbs nyimpen hasil,aplikasi banget eror nyimpen hasil,5
membantu mencatatkan aktifitas,bantu catat aktifitas,5
terima kasih,terima kasih,5
"Saya sangat kecewa dengan update sekarang, Yang lebih P2R (Pay To Run) Dikit Dikit Harus Premium Dam berbayar, Padahal Saya Download Starva karena gratis dan simple, Tiba Tiba Semua Berbayar Sekarang.",kecewa update dikit dikit premium bayar download starva gratis simple bayar,1
"cukup bagus, hanya 1 kekurangannya. hasil berlari malah menampilkan elevation gain bukannya pace. hal itu membuat saya kesal karena tidak bisa menemukan cara merubahnya",bagus kurang hasil lari tampil elevation gain pace kesal temu rubah,3
tak bisa di donlot😔,donlot,1
"woy, bikin fitur ganti bahasa diaplikasi soalnya neng wina pengen ganti bahasa 😡😡",bikin fitur ganti bahasa aplikasi neng wina ganti bahasa,1
"sangat membantu, tp sayang berbayar",bantu sayang bayar,5
