username,review,casefolding,preprocessed_text,score,at,appversion
Dadan Qomariyah,mantap,mantap,mantap,5,2025-07-30 15:38:13,421.8
Galyh Zalza,"Yaallah tolong kembalikan uang saya, tiba2 ketarik otomatis di akun DANA saya senilai 609.390, itu sepertinya tidak sengaja keepncet fitur langganan nya, saya mohon kembalikan uang saya, saya sangat membutuhkannya tolong secepatnya","yaallah tolong kembalikan uang saya, tiba2 ketarik otomatis di akun dana saya senilai 609.390, itu sepertinya tidak sengaja keepncet fitur langganan nya, saya mohon kembalikan uang saya, saya sangat membutuhkannya tolong secepatnya",yaallah tolong kembali uang tarik otomatis akun dana nila sengaja keepncet fitur langgan nya mohon kembali uang butuh tolong cepat,2,2025-07-30 12:55:37,421.8
suya12 revenger,👍👍👍,👍👍👍,,5,2025-07-30 08:33:39,421.8
Syanum Zahira,"sudah d download dan isi daftar tapi gagal terus pdhal sudah sesuai, gak jelas banget","sudah d download dan isi daftar tapi gagal terus pdhal sudah sesuai, gak jelas banget",d download isi daftar gagal pdhal sesuai gak banget,1,2025-07-30 07:24:38,421.8
Habib Warsito,oke,oke,oke,5,2025-07-30 07:14:54,421.8
Ayah Fafa,aplikasi yg sangat membantu untuk semua orang yg mau sehat,aplikasi yg sangat membantu untuk semua orang yg mau sehat,aplikasi yg bantu orang yg sehat,5,2025-07-30 07:13:29,421.8
EM Fakhri,saya menggunakan strava dari akhir 2024 dan berjalan baik sampai update tampilan antarmuka. puncaknya pagi ini aplikasi tidak bisa dibuka dan muncul notifikasi bahwa aplikasi memiliki bug. semoga segera dapat diperbaiki. saya senang menggunakan strava,saya menggunakan strava dari akhir 2024 dan berjalan baik sampai update tampilan antarmuka. puncaknya pagi ini aplikasi tidak bisa dibuka dan muncul notifikasi bahwa aplikasi memiliki bug. semoga segera dapat diperbaiki. saya senang menggunakan strava,strava jalan update tampil antarmuka puncak pagi aplikasi buka muncul notifikasi aplikasi milik bug moga baik senang strava,3,2025-07-30 06:10:55,
Jufriadi,"gak jelas, memotong saldo orang tanpa sepengetahuan saya, tiba tiba berlangganan gak jelas padahal tanpa sepengetahuan saya saldo di dana saya terpotong 609.390 tanpa memasukan pin, dan sudah di ajukan ke google play tidak mau kembalikan saldo saya dari pihak strava","gak jelas, memotong saldo orang tanpa sepengetahuan saya, tiba tiba berlangganan gak jelas padahal tanpa sepengetahuan saya saldo di dana saya terpotong 609.390 tanpa memasukan pin, dan sudah di ajukan ke google play tidak mau kembalikan saldo saya dari pihak strava",gak potong saldo orang tahu langgan gak tahu saldo dana potong pasu pin aju google play kembali saldo strava,1,2025-07-30 00:55:09,420.1
L 153,Eror dari pace dan jarak tidak akurat sama sekali,eror dari pace dan jarak tidak akurat sama sekali,eror pace jarak akurat,2,2025-07-29 20:43:04,421.8
Oktavianto Saragih,koq susah banget buka aplikasinya ya. muter-muter terus,koq susah banget buka aplikasinya ya. muter-muter terus,koq susah banget buka aplikasi ya mutermuter,1,2025-07-29 19:20:04,421.8
Vira Amelia,Gooddddd,gooddddd,gooddddd,4,2025-07-29 18:05:06,421.8
Mandi Ruang,tidak bisa login,tidak bisa login,login,1,2025-07-29 11:00:33,421.8
dul hasim,mantap sangat ber manfaat untuk pembinaan fisik,mantap sangat ber manfaat untuk pembinaan fisik,mantap ber manfaat bina fisik,4,2025-07-29 10:53:36,421.8
Junaedi Fajar,bagus,bagus,bagus,5,2025-07-29 08:34:46,421.8
wahidin syahrir,excellent,excellent,excellent,5,2025-07-29 07:59:50,420.1
Ahmad Azzam,i like it,i like it,i like it,5,2025-07-29 07:49:48,
Hanzo_yt17,Terimakasih buat orang-orang yang menemukan/membuat aplikasi strava ini. Saya sangat senang karena aplikasi ini membantu saya dalam mengukur kemampuan dan kemajuan saya dalam berlari.,terimakasih buat orang-orang yang menemukan/membuat aplikasi strava ini. saya sangat senang karena aplikasi ini membantu saya dalam mengukur kemampuan dan kemajuan saya dalam berlari.,terimakasih orangorang menemukanmembuat aplikasi strava senang aplikasi bantu ukur mampu maju lari,5,2025-07-29 07:45:58,421.8
MUHAMMAD ROSYD ALFAREZA,bgus sekali,bgus sekali,bgus,5,2025-07-29 07:41:31,421.8
Granadi Yusuf albara,"Saya kecewa sama strava, saya padahal tidak pernah berlangganan tiba tiba ini apk nyedot uang di dana.","saya kecewa sama strava, saya padahal tidak pernah berlangganan tiba tiba ini apk nyedot uang di dana.",kecewa strava langgan apk nyedot uang dana,1,2025-07-28 22:24:43,
Kang Iwan,"bagi admin starva tolong kembalikan uang sya sebesar 609.390,00tolong di kembalikan sya bituh uang itu anda sebagai admin kalau mau ngambil saldo harusnya ada pemberitahuan dulu ga langsung lu ambil ambil aja lu udah kaya malah ngambil uang bukan hak lo tolong lah kembalikan uang itu gw mau pake buat bayar semester","bagi admin starva tolong kembalikan uang sya sebesar 609.390,00tolong di kembalikan sya bituh uang itu anda sebagai admin kalau mau ngambil saldo harusnya ada pemberitahuan dulu ga langsung lu ambil ambil aja lu udah kaya malah ngambil uang bukan hak lo tolong lah kembalikan uang itu gw mau pake buat bayar semester",admin starva tolong kembali uang sya tolong kembali sya bituh uang admin ngambil saldo pemberitahuan ga langsung lu ambil ambil aja lu udah kaya ngambil uang hak lo tolong kembali uang gw pake bayar semester,1,2025-07-28 21:58:03,
Ade Yulianto,saya pas daftar tidak bisa masuk dan terjadi error atau keluar dari apk,saya pas daftar tidak bisa masuk dan terjadi error atau keluar dari apk,pas daftar masuk error apk,2,2025-07-28 14:43:51,
Yasir Bkn1,"gak bisa login karna servernya keganggu terus, udah lama saya menunggu itu.","gak bisa login karna servernya keganggu terus, udah lama saya menunggu itu.",gak login karna servernya ganggu udah tunggu,1,2025-07-28 10:08:44,421.8
Yusuf Saputra,bagus,bagus,bagus,5,2025-07-28 07:59:46,421.8
handoyo saputro,Aplikasi ok bingit,aplikasi ok bingit,aplikasi ok bingit,5,2025-07-28 07:58:42,421.8
Fearless Petra,kak mohon maaf boleh minta refund saldo dana saya terpotong otomatis terimakasih,kak mohon maaf boleh minta refund saldo dana saya terpotong otomatis terimakasih,kak mohon maaf refund saldo dana potong otomatis terimakasih,1,2025-07-28 01:38:23,418.11
8I;01; Akasyah Abdil Hafiizh,"kembalikan uang saya 609.390 rb .saya sudah tidak menggunakan aplikai STRAVA sudah lama akan tetapi ada transaksi tidak di ketahui di akun saya tiba tiba saldo dana saya habissss dann aaya sudh komplain trus melapor ke pihak google.trus pihak dana dan sekarang ini.dan di dana sudah tidak bisa di kemablikan karna pembayaran sudah berhasil,tetapi dari pihak saya tidak ada pemberitahuan .ini sangat merugikkan kepada pihak SETRAVAAAA mohon kebijakan nyaa dan TANGGUNG JAWAB sebagai pengelola.","kembalikan uang saya 609.390 rb .saya sudah tidak menggunakan aplikai strava sudah lama akan tetapi ada transaksi tidak di ketahui di akun saya tiba tiba saldo dana saya habissss dann aaya sudh komplain trus melapor ke pihak google.trus pihak dana dan sekarang ini.dan di dana sudah tidak bisa di kemablikan karna pembayaran sudah berhasil,tetapi dari pihak saya tidak ada pemberitahuan .ini sangat merugikkan kepada pihak setravaaaa mohon kebijakan nyaa dan tanggung jawab sebagai pengelola.",kembali uang rb aplikai strava transaksi tahu akun saldo dana habissss dann aaya sudh komplain trus lapor googletrus dana inidan dana kemablikan karna bayar berhasiltetapi pemberitahuan merugikkan setravaaaa mohon bijak nyaa tanggung kelola,1,2025-07-27 23:09:28,
Sahrul Huda,"tiba tiba dana kepotong akibat strava, padahal cuman uji coba gratis","tiba tiba dana kepotong akibat strava, padahal cuman uji coba gratis",dana potong akibat strava cuman uji coba gratis,1,2025-07-27 20:39:45,420.1
Surya Saputra,kadang tidak sesuai kilometer nya sama jarak yang kita tempuh,kadang tidak sesuai kilometer nya sama jarak yang kita tempuh,kadang sesuai kilometer nya jarak tempuh,1,2025-07-27 18:46:55,421.8
Muhammad ramadhan,penghitungan nya ga sesuai,penghitungan nya ga sesuai,hitung nya ga sesuai,1,2025-07-27 18:39:29,421.8
Indra Lesmana,"tolong kembalikan dana berlangganan senilai 609rb, kenapa saya otomatis harus bayar biaya langganan selama setahun. Padahal dari awal menggunakan aplikasi tidak pernah menggunakan fitur premium. sudah coba refund lewat google play store, tapi tolong dibantu percepat lah dari depeloper untuk uang saya bisa kembali dalam waktu satu hari !!!","tolong kembalikan dana berlangganan senilai 609rb, kenapa saya otomatis harus bayar biaya langganan selama setahun. padahal dari awal menggunakan aplikasi tidak pernah menggunakan fitur premium. sudah coba refund lewat google play store, tapi tolong dibantu percepat lah dari depeloper untuk uang saya bisa kembali dalam waktu satu hari !!!",tolong kembali dana langgan nila rb otomatis bayar biaya langgan tahun aplikasi fitur premium coba refund google play store tolong bantu cepat depeloper uang,1,2025-07-27 16:39:42,419.12
Faiz Faiz,el error😹😹,el error😹😹,el error,1,2025-07-27 14:49:22,421.8
tamia,"aplikasi yang berguna untuk lari, tetapi kenapa saat saya login ulang, di halaman aplikasi tertulis server eror, itu sangat menggangu sehingga saya perlu menggunakan vpn agar kembali normal. tolong di perbaiki. terima kasih🙏","aplikasi yang berguna untuk lari, tetapi kenapa saat saya login ulang, di halaman aplikasi tertulis server eror, itu sangat menggangu sehingga saya perlu menggunakan vpn agar kembali normal. tolong di perbaiki. terima kasih🙏",aplikasi guna lari login ulang halaman aplikasi tulis server eror menggangu vpn normal tolong baik terima kasih,4,2025-07-27 11:07:59,
Rashid Ryuki,"masak iya saya jogging speed keong tercatat pace 3, gps sering error, tp error yg bagus 👍🏼","masak iya saya jogging speed keong tercatat pace 3, gps sering error, tp error yg bagus 👍🏼",masak iya jogging speed keong catat pace gps error tp error yg bagus,5,2025-07-27 08:06:02,
Taufiq Hidayat,akurat dan sangat bermanfaat,akurat dan sangat bermanfaat,akurat manfaat,5,2025-07-27 07:41:47,421.8
Rino Septian,bagus sekali,bagus sekali,bagus,5,2025-07-27 07:35:50,417.13
Felky Indriawan,akurat,akurat,akurat,5,2025-07-27 07:22:35,421.8
Tegar Pambuditama,nice,nice,nice,5,2025-07-27 07:11:14,421.8
Shidqi Alfathan,ngelek,ngelek,ngelek,1,2025-07-26 15:35:07,419.12
Raju Handika,Good job! :),good job! :),good job,5,2025-07-26 13:26:45,421.8
Fredd Mu,Good,good,good,5,2025-07-26 11:37:10,
azmi hamzah,bermanfaat,bermanfaat,manfaat,5,2025-07-26 10:54:59,
Michael Eduardo Simamora,"apaan cok candance harus nya di sesuaikan dlu masa pace kecil candance nya di bawah 150 sedangkan tb 160, candance nya sesuaikan sama pace + tb aja dah yang di tanyakan di awan","apaan cok candance harus nya di sesuaikan dlu masa pace kecil candance nya di bawah 150 sedangkan tb 160, candance nya sesuaikan sama pace + tb aja dah yang di tanyakan di awan",cok candance nya sesuai dlu pace candance nya tb candance nya sesuai pace tb aja dah awan,2,2025-07-26 10:13:46,421.8
Mini Maxx Mini Maxx,aplikasi ini bagus wajib bintang 5,aplikasi ini bagus wajib bintang 5,aplikasi bagus wajib bintang,5,2025-07-26 10:10:27,420.1
Adhifa Rihan,msh suka ngebug mau save setelah run tp ngk bisa di save,msh suka ngebug mau save setelah run tp ngk bisa di save,msh suka ngebug save run tp ngk save,4,2025-07-26 09:24:52,418.11
kak Arshan,sering error ketika menyimpan aktifitas padahal koneksi internet bagus!!,sering error ketika menyimpan aktifitas padahal koneksi internet bagus!!,error simpan aktifitas koneksi internet bagus,1,2025-07-26 09:01:45,
Agus Salim,very good,very good,very good,5,2025-07-26 08:49:38,
litbang Mempawah,bagus aplikasinya,bagus aplikasinya,bagus aplikasi,5,2025-07-26 08:39:13,421.8
Ridwan Fadlan,okeyy,okeyy,okeyy,5,2025-07-26 08:12:14,421.8
Dandy Setyo,aplikasi pencatatan olahraga yg sangat bagus,aplikasi pencatatan olahraga yg sangat bagus,aplikasi catat olahraga yg bagus,5,2025-07-26 07:30:24,421.8
yafi hibrizi,bagus,bagus,bagus,5,2025-07-26 07:27:35,421.8
Danang Harmawan,aplikasi yang sangat berguna,aplikasi yang sangat berguna,aplikasi guna,5,2025-07-26 07:22:55,420.1
Naufal Faris Maulana,aplikasi nya bagus banget,aplikasi nya bagus banget,aplikasi nya bagus banget,5,2025-07-26 07:14:37,
M Rasyim IBRAHIM,"aduh gimana si apk gaje, login server selalu masalah, emang apk kurang berguna","aduh gimana si apk gaje, login server selalu masalah, emang apk kurang berguna",aduh gimana si apk gaje login server emang apk guna,1,2025-07-26 06:41:35,421.8
Kusnul Hadi,"600rb cman utk apk ini,dan itupun nggak sengaja ternyata aku msh berlangganan,sedangkan saya sdh tdk pakai apk ini,melayang sdh 600rb ku","600rb cman utk apk ini,dan itupun nggak sengaja ternyata aku msh berlangganan,sedangkan saya sdh tdk pakai apk ini,melayang sdh 600rb ku",rb cman utk apk inidan itu nggak sengaja msh berlangganansedangkan sdh tdk pakai apk inimelayang sdh rb ku,1,2025-07-26 05:29:34,
Dzakirah larasati,download terpaksa karena tugas 💁🏼‍♀️💔menuhin memo tok,download terpaksa karena tugas 💁🏼‍♀️💔menuhin memo tok,download paksa tugas menuhin memo tok,1,2025-07-25 23:28:10,
Mochrestu Adistya,"Saya ingin melaporkan bahwa pada tanggal [25 juli 2025], saldo DANA saya sebesar Rp [609.390] telah terpotong secara otomatis oleh aplikasi Strava. Saya tidak merasa melakukan transaksi berlangganan atau menyetujui pembayaran tersebu","saya ingin melaporkan bahwa pada tanggal [25 juli 2025], saldo dana saya sebesar rp [609.390] telah terpotong secara otomatis oleh aplikasi strava. saya tidak merasa melakukan transaksi berlangganan atau menyetujui pembayaran tersebu",lapor tanggal juli saldo dana rp potong otomatis aplikasi strava transaksi langgan tuju bayar sebu,1,2025-07-25 18:47:45,421.8
Vanes Maharani,"yaAllah, tolong admin Strava tolong kembalikan uang saya, saya tidak langganan kok tiba"" saldo saya otomatis ketarik saldo saya senilai, 609.390.00,tolong admin strava kembalikan uang saya🙏","yaallah, tolong admin strava tolong kembalikan uang saya, saya tidak langganan kok tiba"" saldo saya otomatis ketarik saldo saya senilai, 609.390.00,tolong admin strava kembalikan uang saya🙏",yaallah tolong admin strava tolong kembali uang langgan saldo otomatis tarik saldo nila tolong admin strava kembali uang,1,2025-07-25 16:37:03,421.8
dhani putra,kenapa selalu update tiap hari? dan jarak langkah kaki kenapa tidak akurat? misal saya berjalan 5km di sini cmn kebaca 1000 langkah kaki,kenapa selalu update tiap hari? dan jarak langkah kaki kenapa tidak akurat? misal saya berjalan 5km di sini cmn kebaca 1000 langkah kaki,update jarak langkah kaki akurat jalan km cmn baca langkah kaki,1,2025-07-25 15:59:28,420.1
yaskur tamami,GA BISA LOGIN,ga bisa login,ga login,1,2025-07-25 15:50:32,421.8
Naufal Fahmi,keren.,keren.,keren,5,2025-07-25 12:42:28,421.8
Ghifarie Ridho Al Defani,sangat membantu,sangat membantu,bantu,5,2025-07-25 08:12:43,421.8
Adhella Mawarsari,"i don't want to subs this app, but they automatically, i need to refund it please respond my massage","i don't want to subs this app, but they automatically, i need to refund it please respond my massage",i dont want to subs this app but they automatically i need to refund it please respond my massage,1,2025-07-25 07:48:38,420.1
Yordan Raubaba,Rekomendasi Suhu Runners terbaik,rekomendasi suhu runners terbaik,rekomendasi suhu runners baik,5,2025-07-25 07:34:04,416.14
dony saputra,ok,ok,ok,5,2025-07-25 07:27:22,421.8
aloy vera,pemberi semangat,pemberi semangat,beri semangat,5,2025-07-25 07:23:16,421.8
Anton HP,mantab,mantab,mantab,5,2025-07-25 07:18:36,421.8
Arsy Svarga,bagus & akurat,bagus & akurat,bagus akurat,5,2025-07-25 07:14:15,421.8
Farel Iparel,kadang kilometer nya ngak nambah nambah,kadang kilometer nya ngak nambah nambah,kadang kilometer nya ngak nambah nambah,3,2025-07-25 00:07:05,420.1
Brandon Lie,akurat,akurat,akurat,5,2025-07-24 18:22:52,420.1
Fikri Abdullah,"Versi terbaru makin ngelag, lemot, lelet, siput, lambat, loading","versi terbaru makin ngelag, lemot, lelet, siput, lambat, loading",versi baru ngelag lot lelet siput lambat loading,1,2025-07-24 17:55:38,421.8
ervine marlia,saya suka menggunakannya. tapi gimana merubah yang ada hasil brp banyak langkahnya,saya suka menggunakannya. tapi gimana merubah yang ada hasil brp banyak langkahnya,suka guna gimana rubah hasil brp langkah,5,2025-07-24 07:59:43,414.8
Setyo Purnomo,so far bermanfaat buat informasi ikhtiar olahraga,so far bermanfaat buat informasi ikhtiar olahraga,so far manfaat informasi ikhtiar olahraga,5,2025-07-24 07:54:47,420.1
Septian Eka,aplikasi nya bagus berguna sekali buat Joging Olahraga Sepeda renang,aplikasi nya bagus berguna sekali buat joging olahraga sepeda renang,aplikasi nya bagus guna joging olahraga sepeda renang,5,2025-07-24 00:34:05,421.8
CHAIRIL ANWAR,bug pace,bug pace,bug pace,1,2025-07-23 21:46:58,420.1
Areno Mareno,tolong kembalikan uang saya tiba² ketarik otomatis di akun DANA saya sebesar 609.390 itu sepertinya tidak di sengaja kepencet fitur langanan nya saya mohonlah kembalikan uang saya itu untuk saya sekolah,tolong kembalikan uang saya tiba² ketarik otomatis di akun dana saya sebesar 609.390 itu sepertinya tidak di sengaja kepencet fitur langanan nya saya mohonlah kembalikan uang saya itu untuk saya sekolah,tolong kembali uang tarik otomatis akun dana sengaja pencet fitur langanan nya mohon kembali uang sekolah,1,2025-07-23 19:57:36,
Intan Alfi,good 🔥🤩,good 🔥🤩,good,5,2025-07-23 17:14:28,420.1
Ismail Mapia,mantp buat pelari pemula,mantp buat pelari pemula,mantp lari mula,5,2025-07-23 13:59:38,420.1
din mds,good,good,good,5,2025-07-23 12:14:50,
Yasinthofani A,"Bug di Elevasi, padahal tidak menanjak tapi terhitung elevasi yang signifikan","bug di elevasi, padahal tidak menanjak tapi terhitung elevasi yang signifikan",bug elevasi tanjak hitung elevasi signifikan,1,2025-07-23 10:38:44,420.1
Jundan Syarip,ini kenapa ya strava gaada km sama Pace nya aneh banget cape cape lari gaada km sma Pace ny jadi gatau saya udh berapa km nya dan Pace ny berapa,ini kenapa ya strava gaada km sama pace nya aneh banget cape cape lari gaada km sma pace ny jadi gatau saya udh berapa km nya dan pace ny berapa,ya strava gaada km pace nya aneh banget cape cape lari gaada km sma pace ny gatau udh km nya pace ny,1,2025-07-23 10:10:28,420.1
Muhammad Tamama,"Jelek banget, gak akurat sama sekali padahal bersepeda jarak 20km+ malah dicatat 7km. Gak niat bikin aplikasi hapus aja dari playstore","jelek banget, gak akurat sama sekali padahal bersepeda jarak 20km+ malah dicatat 7km. gak niat bikin aplikasi hapus aja dari playstore",jelek banget gak akurat sepeda jarak km catat km gak niat bikin aplikasi hapus aja playstore,1,2025-07-23 09:28:41,420.1
Iskandar Tambunan,"Bagus, cukup akurat dan bisa sinkron dengan smartwatch Huawei saya","bagus, cukup akurat dan bisa sinkron dengan smartwatch huawei saya",bagus akurat sinkron smartwatch huawei,5,2025-07-23 07:35:03,420.1
Imam Mutaqin,Terbaik,terbaik,baik,5,2025-07-23 07:28:59,420.1
Hariyono Sudarmo,mantap..,mantap..,mantap,5,2025-07-23 07:25:42,
amazing line,good app,good app,good app,5,2025-07-23 07:21:05,418.11
Y.Rahman Mulyo Subagiyo,"bagus utk monitor kegiatan olahraga,check atau evaluasi selama kegiatan","bagus utk monitor kegiatan olahraga,check atau evaluasi selama kegiatan",bagus utk monitor giat olahragacheck evaluasi giat,5,2025-07-22 22:27:30,420.1
MOCH SULTONI,konversi pace dari smartwatch amazfit ke strava beda jauh. mohon ditingkatkan aplikasinya,konversi pace dari smartwatch amazfit ke strava beda jauh. mohon ditingkatkan aplikasinya,konversi pace smartwatch amazfit strava beda mohon tingkat aplikasi,3,2025-07-22 19:06:52,420.1
Muhammad RZ,"awalnya aplikasi ini oke lah, tapi 4 bulan terakhir GPS error terus, udah hapus download lagi tetep sama error, akhirnya pindah ke aplikasi sebelah","awalnya aplikasi ini oke lah, tapi 4 bulan terakhir gps error terus, udah hapus download lagi tetep sama error, akhirnya pindah ke aplikasi sebelah",aplikasi oke gps error udah hapus download tetep error pindah aplikasi belah,2,2025-07-22 15:49:25,419.12
Dewo Tqn38,Akhir-akhir ini buka aplikasi ini agak lambat responnya,akhir-akhir ini buka aplikasi ini agak lambat responnya,akhirakhir buka aplikasi lambat responnya,4,2025-07-22 13:08:35,420.1
capunk hanggoro,okkk...,okkk...,okkk,5,2025-07-22 12:55:15,420.1
HARLENSKY,"bug, gak bisa login atau buat akun baru","bug, gak bisa login atau buat akun baru",bug gak login akun,5,2025-07-22 09:14:35,
Kanzy Cruel,panggil aku pelari kalcer,panggil aku pelari kalcer,panggil lari kalcer,5,2025-07-22 08:34:33,
siti Halimah,"keren, mantap","keren, mantap",keren mantap,5,2025-07-22 08:01:33,420.1
Farhan Kelapp,"tolong kembalikan uang umsaya 609.390 saya tidak memakai aplikasi ini sama sekali, tapi dana saya ke sedot otomatis, aplikasi pencuri saldo","tolong kembalikan uang umsaya 609.390 saya tidak memakai aplikasi ini sama sekali, tapi dana saya ke sedot otomatis, aplikasi pencuri saldo",tolong kembali uang umsaya pakai aplikasi dana sedot otomatis aplikasi curi saldo,1,2025-07-22 07:16:53,420.1
Ahmad Hanif bin sholihin,"bayangin lu udah lari berkilo-kilo mau cek fisik seberapa kuat jarak lu lari, pas udah selesaikan aktifitas ternyata di profile ga ada alias kaga kerekam. ahelaaahh","bayangin lu udah lari berkilo-kilo mau cek fisik seberapa kuat jarak lu lari, pas udah selesaikan aktifitas ternyata di profile ga ada alias kaga kerekam. ahelaaahh",bayangin lu udah lari berkilokilo cek fisik kuat jarak lu lari pas udah selesai aktifitas profile ga alias kaga rekam ahelaaahh,1,2025-07-22 06:52:45,421.8
Rizal Afandy,aplikasi ampas,aplikasi ampas,aplikasi ampas,1,2025-07-22 06:07:23,420.1
jemmy vaganza,Jozz,jozz,jozz,5,2025-07-21 20:05:21,420.1
Erin Saerin (Serin),aplikasi bagus,aplikasi bagus,aplikasi bagus,5,2025-07-21 18:43:04,420.1
Rahmad,"aplikasi nya kadang suka minimize dan close sendiri ketika dipakai record saat lari, alhasil rekaman lari hilang/salah (Pace nya loncat, jarak nya hilang), ngeselin banget 👿👿 padahal HP sudah mumpuni pakai Snapdragon 8 gen 3 dan ram 16 GB. izin aplikasi juga sudah semua ayo segera perbaiki, sangat mengganggu","aplikasi nya kadang suka minimize dan close sendiri ketika dipakai record saat lari, alhasil rekaman lari hilang/salah (pace nya loncat, jarak nya hilang), ngeselin banget 👿👿 padahal hp sudah mumpuni pakai snapdragon 8 gen 3 dan ram 16 gb. izin aplikasi juga sudah semua ayo segera perbaiki, sangat mengganggu",aplikasi nya kadang suka minimize close pakai record lari alhasil rekam lari hilangsalah pace nya loncat jarak nya hilang ngeselin banget hp mumpuni pakai snapdragon gen ram gb izin aplikasi ayo baik ganggu,3,2025-07-21 18:38:37,419.12
Hani Nura,duit gw d ambil dia guysss 610 RB 😭😭😭,duit gw d ambil dia guysss 610 rb 😭😭😭,duit gw d ambil guysss rb,1,2025-07-21 16:38:36,
Irfan story official,sangat baik,sangat baik,,5,2025-07-21 15:25:49,
Bayu Aji Utomo,"Apakah ada yang tau untuk solusi menghubungkan jam tangan dari huawei gt 5 ke strava ,dikarenakan ketika melakukan aktivitas sebenarnya sudah terbaca namun nama device / jam tangan tidak tercantum pada aktivitas Terimakasih","apakah ada yang tau untuk solusi menghubungkan jam tangan dari huawei gt 5 ke strava ,dikarenakan ketika melakukan aktivitas sebenarnya sudah terbaca namun nama device / jam tangan tidak tercantum pada aktivitas terimakasih",tau solusi hubung jam tangan huawei gt strava aktivitas baca nama device jam tangan cantum aktivitas terimakasih,5,2025-07-21 12:09:29,420.1
Febri Mpeb,"tolong kembalikan saldo DANA saya,yang tiba tiba otomatis membeli langganan senilai 609.390.00,saya sudah ajukan ke web strava,dan chat email Strava tapi belum ada respon dari pihak strava,mohon kembalikan dananya,saya sangat membutuhkannya🙏🙏","tolong kembalikan saldo dana saya,yang tiba tiba otomatis membeli langganan senilai 609.390.00,saya sudah ajukan ke web strava,dan chat email strava tapi belum ada respon dari pihak strava,mohon kembalikan dananya,saya sangat membutuhkannya🙏🙏",tolong kembali saldo dana sayayang otomatis beli langgan nila aju web stravadan chat email strava respon stravamohon kembali dananyasaya butuh,2,2025-07-21 10:06:07,
Reza Satria,tolong diperbaiki bugnya masa saya sudah record pas di save malah tidak muncul di aktivitas,tolong diperbaiki bugnya masa saya sudah record pas di save malah tidak muncul di aktivitas,tolong baik bugnya record pas save muncul aktivitas,2,2025-07-21 09:41:26,420.1
Isaiah Harrison,mantap buat aktivitas olahraga kita,mantap buat aktivitas olahraga kita,mantap aktivitas olahraga,5,2025-07-21 08:31:59,420.1
Sukri Alwi,sangat berguna dalam berolahraga,sangat berguna dalam berolahraga,guna olahraga,5,2025-07-21 08:07:44,420.1
Wildan Wae,bikin olah raga tambah semangat,bikin olah raga tambah semangat,bikin olah raga semangat,5,2025-07-21 08:02:58,420.1
Muhammad Endar Darmawan,nice,nice,nice,5,2025-07-21 07:27:00,420.1
Dion Alessandrio (Dion),mantuuuul sih ini,mantuuuul sih ini,mantuuuul sih,5,2025-07-20 23:09:14,420.1
Hamzah A.Z,tidak bisa login,tidak bisa login,login,1,2025-07-20 22:25:38,420.1
Kirana Nadine,"KECEWA BANGEETTT SIEISJSH, UDAAHH LARIII 1 JAM TERNYATA GA KECATET. NAPAAASS GUEEE HAMPIRR MAAUUU SEEEDIKIITTT GARA GARA LARIII MALAAAHHH GINII. KECATET NYA 15 MENIITTT DOANG PADAHAL GUEEE UDAAHHH NGITUNG LARIII 1 JAM. MOHON PERBAIKAN NYA YA...","kecewa bangeettt sieisjsh, udaahh lariii 1 jam ternyata ga kecatet. napaaass gueee hampirr maauuu seeedikiittt gara gara lariii malaaahhh ginii. kecatet nya 15 meniittt doang padahal gueee udaahhh ngitung lariii 1 jam. mohon perbaikan nya ya...",kecewa bangeettt sieisjsh udaahh lariii jam ga kecatet napaaass gueee hampirr maauuu seeedikiittt gara gara lariii malaaahhh ginii kecatet nya meniittt doang gueee udaahhh ngitung lariii jam mohon baik nya ya,1,2025-07-20 19:00:32,416.14
Thofa Khasih,ga bisa liat hasil lari harus bayar,ga bisa liat hasil lari harus bayar,ga liat hasil lari bayar,1,2025-07-20 18:24:52,
muh rehan,saldo saya tiba-tiba membayar tagihan padahal saya tidak melakukannya saya harap saldo saya bisa di kembalikan uang tersebut untuk saya sekolah mohon bantuannya 🙏,saldo saya tiba-tiba membayar tagihan padahal saya tidak melakukannya saya harap saldo saya bisa di kembalikan uang tersebut untuk saya sekolah mohon bantuannya 🙏,saldo tibatiba bayar tagih laku harap saldo kembali uang sekolah mohon bantu,1,2025-07-20 17:52:01,415.14
Riv,"aplikasi apaan nih, ngeleg bat padahal jaringan lancar","aplikasi apaan nih, ngeleg bat padahal jaringan lancar",aplikasi nih ngeleg bat jaring lancar,1,2025-07-20 15:35:28,
Rooy AD,"sementara rating 1. karena app yg saya pakai setiap share activity maka gambarnya rusak, gak jelas. padahal sudah saya updates.","sementara rating 1. karena app yg saya pakai setiap share activity maka gambarnya rusak, gak jelas. padahal sudah saya updates.",rating app yg pakai share activity gambar rusak gak updates,1,2025-07-20 12:44:37,420.1
Sendy Tirta Ananta,saat di share tidak muncul jarak+rutenya,saat di share tidak muncul jarak+rutenya,share muncul jarakrutenya,1,2025-07-20 12:42:03,420.1
